NUMBER	LANGUAGE	GLOTTOCODE	GLOTTOLOG
1	Nepali	nepa1254	Nepali
2	Gurung	guru1261	Gurung
3	Tamang	west2415	Western Tamang
4	Thakali	thak1245	Thakali
5	Magar	maga1261	Magar
6	Kham 	parb1234	Parbate Kham
7	Kaike	kaik1246	Kaike
8	Jirel	jire1238	Jirel
9	Sherpa	sher1255	Solu-Khumbu Sherpa
10	Sunwar	sunw1242	Sunwar
11	Khaling	khal1275	Khaling
12	Newari	newa1246	Kathmandu Valley Newari
13	Chepang	chep1245	Chepang
