ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Chepang-1526_young-1,260431,Chepang,1526_young,tohā,tohā,t o h aː,,Hale1973,,
Chepang-1527_aged-1,260449,Chepang,1527_aged,budo,budo,b u d o,,Hale1973,,
Chepang-1529_strong-1,260475,Chepang,1529_strong,dyun.ʔo,dyun.ʔo,d j u n + ʔ o,,Hale1973,,
Chepang-1529_strong-2,260476,Chepang,1529_strong,chur.ʔo,chur.ʔo,tʃʰ u r + ʔ o,,Hale1973,,
Chepang-1530_weak-1,260490,Chepang,1530_weak,gru.ʔo,gru.ʔo,g r u + ʔ o,,Hale1973,,
Chepang-1531_violent-1,260501,Chepang,1531_violent,kharh.ʔo,kharh.ʔo,kʰ a r̊ + ʔ o,,Hale1973,,
Chepang-1532_gentle-1,260515,Chepang,1532_gentle,kām.ʔo,kām.ʔo,k aː m + ʔ o,,Hale1973,,
Chepang-1533_alive-1,260529,Chepang,1533_alive,syāk.ʔo,syāk.ʔo,s j aː k + ʔ o,,Hale1973,,
Chepang-1534_dead-1,260542,Chepang,1534_dead,si.ʔo,si.ʔo,s i + ʔ o,,Hale1973,,
Chepang-1535_numb-1,260555,Chepang,1535_numb,thi.ʔo,thi.ʔo,tʰ i + ʔ o,,Hale1973,,
Chepang-1536_blind-1,260568,Chepang,1536_blind,mik lok.ʔo,mik lok.ʔo,m i k + l o k + ʔ o,,Hale1973,,
Chepang-1537_deaf-1,260582,Chepang,1537_deaf,no lok.ʔo,no lok.ʔo,n o + l o k + ʔ o,,Hale1973,,
Chepang-1540_careful-1,260619,Chepang,1540_careful,yāʔ.ʔo,yāʔ.ʔo,j aː ʔ + ʔ o,,Hale1973,,
Chepang-1541_careless-1,260633,Chepang,1541_careless,yāʔ.mā.lo,yāʔ.mā.lo,j aː ʔ + m aː + l o,,Hale1973,,
Chepang-1542_intelligent-1,260647,Chepang,1542_intelligent,hwak.ʔo,hwak.ʔo,ẘ a k + ʔ o,,Hale1973,,
Chepang-1543_ignorant-1,260660,Chepang,1543_ignorant,hwak.mā.lo,hwak.mā.lo,ẘ a k + m aː + l o,,Hale1973,,
Chepang-1544_cleverhands-1,260671,Chepang,1544_cleverhands,sip ciʔ.ʔo,sip ciʔ.ʔo,s i p + c i ʔ + ʔ o,,Hale1973,,
Chepang-1545_cleverhead-1,260685,Chepang,1545_cleverhead,ci?.?o,ci?.?o,tʃ i ʔ + ʔ o,,Hale1973,,
Chepang-1546_foolish-1,260698,Chepang,1546_foolish,ciʔ.mā.lo,ciʔ.mā.lo,tʃ i ʔ + m aː + l o,,Hale1973,,
Chepang-1548_good-1,260726,Chepang,1548_good,pe.ʔo,pe.ʔo,p e + ʔ o,,Hale1973,,
Chepang-1549_evil-1,260739,Chepang,1549_evil,rew.ʔo,rew.ʔo,r e w + ʔ o,,Hale1973,,
Chepang-1550_healthy-1,260754,Chepang,1550_healthy,tu.ʔo,tu.ʔo,t u + ʔ o,,Hale1973,,
Chepang-1550_healthy-2,260755,Chepang,1550_healthy,selʔ.ʔo,selʔ.ʔo,s e l ʔ + ʔ o,,Hale1973,,
Chepang-1551_sick-1,260770,Chepang,1551_sick,jik.ʔo cāwʔ.ʔo,jik.ʔo cāwʔ.ʔo,dʒ i k + ʔ o + c aː w ʔ + ʔ o,,Hale1973,,
Chepang-1552_busy-1,260782,Chepang,1552_busy,thāl.ʔo,thāl.ʔo,tʰ aː l + ʔ o,,Hale1973,,
Chepang-1552_busy-2,260783,Chepang,1552_busy,bhungh.ʔo,bhungh.ʔo,bʱ u ŋ h + ʔ o,,Hale1973,,
Chepang-1553_lazy-1,260797,Chepang,1553_lazy,ʔal.si,ʔal.si,ʔ a l + s i,,Hale1973,,
Chepang-1554_tired-1,260810,Chepang,1554_tired,hryām.ʔo,hryām.ʔo,h r j aː m + ʔ o,,Hale1973,,
Chepang-1557_rich-1,260849,Chepang,1557_rich,sāhn,sāhn,s a̤ː n,,Hale1973,,
Chepang-1558_poor-1,260862,Chepang,1558_poor,hryāt,hryāt,h r j aː t,,Hale1973,,
Chepang-1559_fat-1,260875,Chepang,1559_fat,chaw◦mu.ʔo,chaw◦mu.ʔo,tʃʰ a w + m u + ʔ o,,Hale1973,,
Chepang-1560_stout-1,260888,Chepang,1560_stout,dyun.ʔo,dyun.ʔo,d j u n + ʔ o,,Hale1973,,
