NUMBER	IDINSTEDT	CORRECTED	CONCEPTINSTEDT
73	01.072	1.072	sun
74	01.073	1.073	moon
75	01.074	1.074	star
76	01.075	1.075	water
77	01.076	1.076	rain
78	01.077	1.077	stone
79	01.079	1.079	earth
80	01.080	1.080	cloud
81	01.081	1.081	smoke
82	01.082	1.082	fire
83	01.083	1.083	ash
84	01.084	1.084	burn
85	01.085	1.085	path
86	01.086	1.086	mountain
87	01.087	1.087	red
88	01.088	1.088	green
89	01.089	1.089	yellow
90	01.090	1.090	white
91	01.091	1.091	black
92	01.092	1.092	night
93	01.093	1.093	hot
94	01.094	1.094	cold
95	01.095	1.095	full
96	01.097	1.097	good
97	01.098	1.098	round
98	01.099	1.099	dry
99	01.100	1.100	name
100	09.19	9.19	seventy
101	09.20	9.20	eighty
102	09.21	9.21	ninety
103	09.22	9.22	ninety-eight
104	09.23	9.23	ninety-nine
105	09.24	9.24	hundred
106	09.25	9.25	hundred and two
107	09.26	9.26	hundred and thirty
108	09.27	9.27	hundred and ninety
109	09.28	9.28	hundred, two
110	09.29	9.29	thousand, one
111	09.31	9.31	second
112	09.32	9.32	third
113	09.33	9.33	eighth
114	09.37	9.37	third, one-
115	09.38	9.38	quarter, one-
116	09.39	9.39	thirds, two-
117	09.40	9.40	quarters, three-
118	09.42	9.42	none
119	09.43	9.43	neither
120	09.44	9.44	both
121	09.46	9.46	total
122	09.47	9.47	together
123	01.056	1.056	bite
124	01.064	1.064	fly
125	01.065	1.065	walk
126	01.066	1.066	come
127	01.070	1.070	give
128	01.078	1.078	sand
129	01.009,12.	1.009	all
130	01.096	1.096	new
131	06a.0406a.	06a.04	place
132	I.9	1.009	all
133	01.009;12d	1.009	all (for things)
1	09.10	9.1	nineteen
2	09.30	9.3	first
3	09.50	9.5	someone
4	01.009	1.009	all
5	09.20	9.2	eighty
6	09.40	9.4	quarters, three-
7	01.009,12.	1.009	all
8	I.9	1.009	all
9	01.009,12d	1.009	all
10	01.009;12d	1.009	all
